Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
AIDS deaths,2012,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,41,2.4,1715621.00
AIDS deaths,2013,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,39,2.3,1724605.00
AIDS deaths,2014,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,52,3,1727337.00
AIDS deaths,2015,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,68,3.9,1731404.00
AIDS deaths,2016,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,41,2.4,1738281.00
AIDS deaths,2017,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,21,1.2,1744348.00
AIDS deaths,2011,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,820",11.1,16458143.00
AIDS deaths,2012,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,703",10.3,16540669.00
AIDS deaths,2013,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,675",10.1,16606696.00
AIDS deaths,2014,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,575",9.5,16650830.00
AIDS deaths,2015,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,473",8.8,16665971.00
AIDS deaths,2016,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,532",9.2,16665101.00
AIDS deaths,2017,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,444",8.7,16640405.00
AIDS deaths,2011,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,372,4.6,8004877.00
AIDS deaths,2012,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,362,4.5,8101318.00
AIDS deaths,2013,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,391,4.8,8203696.00
AIDS deaths,2014,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,398,4.8,8300834.00
AIDS deaths,2015,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,405,4.8,8401711.00
AIDS deaths,2016,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,380,4.5,8522014.00
AIDS deaths,2017,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,385,4.5,8633016.00
AIDS deaths,2011,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,4,0.7,573759.00
AIDS deaths,2012,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,3,0.5,585281.00
AIDS deaths,2013,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,3,0.5,600804.00
AIDS deaths,2014,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,6,1,611504.00
AIDS deaths,2015,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,7,1.1,623158.00
AIDS deaths,2016,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,3,0.5,622315.00
AIDS deaths,2017,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,3,0.5,622525.00
AIDS deaths,2011,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,245,2.5,9633071.00
AIDS deaths,2012,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,254,2.6,9655211.00
AIDS deaths,2013,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,232,2.4,9696486.00
AIDS deaths,2014,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,2.7,9732167.00
AIDS deaths,2015,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,230,2.4,9754188.00
AIDS deaths,2016,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,248,2.5,9777971.00
AIDS deaths,2017,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,271,2.8,9813290.00
AIDS deaths,2011,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,94,3,3104403.00
AIDS deaths,2012,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,93,3,3131983.00
AIDS deaths,2013,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,107,3.4,3161412.00
AIDS deaths,2014,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,116,3.6,3184247.00
AIDS deaths,2015,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,122,3.8,3211563.00
AIDS deaths,2016,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,93,2.9,3228505.00
AIDS deaths,2017,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,81,2.5,3238135.00
AIDS deaths,2011,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,84,2.6,3252260.00
AIDS deaths,2012,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,89,2.7,3282121.00
AIDS deaths,2013,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,94,2.8,3309074.00
AIDS deaths,2014,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,2.4,3348642.00
AIDS deaths,2015,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,88,2.6,3397526.00
AIDS deaths,2016,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,82,2.4,3466235.00
AIDS deaths,2017,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,87,2.5,3519405.00
AIDS deaths,2011,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,519,4.8,10800820.00
AIDS deaths,2012,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,475,4.4,10832936.00
AIDS deaths,2013,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,508,4.7,10857460.00
AIDS deaths,2014,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,499,4.6,10879461.00
AIDS deaths,2015,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,463,4.3,10881745.00
AIDS deaths,2016,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,454,4.2,10888364.00
AIDS deaths,2017,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,468,4.3,10902840.00
AIDS deaths,2011,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,38,4.2,899628.00
AIDS deaths,2012,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,34,3.8,902455.00
AIDS deaths,2013,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,3.3,904623.00
AIDS deaths,2014,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,33,3.6,907072.00
AIDS deaths,2015,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,18,2,908366.00
AIDS deaths,2016,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,34,3.7,910326.00
AIDS deaths,2017,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,25,2.7,911239.00
AIDS deaths,2011,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,284,7.3,3893958.00
AIDS deaths,2012,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,264,6.7,3939204.00
AIDS deaths,2013,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,253,6.3,3988907.00
AIDS deaths,2014,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,275,6.8,4046632.00
AIDS deaths,2015,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,232,5.6,4109463.00
AIDS deaths,2016,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,276,6.6,4171070.00
AIDS deaths,2017,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,257,6.1,4230737.00
AIDS deaths,2011,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,5,0.7,673889.00
AIDS deaths,2012,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,7,1,682418.00
AIDS deaths,2013,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,5,0.7,689289.00
AIDS deaths,2014,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,7,1,694500.00
AIDS deaths,2015,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,6,0.9,697811.00
AIDS deaths,2016,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,6,0.9,704961.00
AIDS deaths,2017,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,3,0.4,713932.00
AIDS deaths,2011,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,242,4.5,5326756.00
AIDS deaths,2012,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,258,4.8,5379876.00
AIDS deaths,2013,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,254,4.7,5424065.00
AIDS deaths,2014,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,4.8,5471517.00
AIDS deaths,2015,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,252,4.6,5518921.00
AIDS deaths,2016,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,243,4.4,5570308.00
AIDS deaths,2017,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,250,4.4,5631232.00
AIDS deaths,2011,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,092",5.3,20595015.00
AIDS deaths,2012,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,105",5.3,20998376.00
AIDS deaths,2013,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,045",4.9,21367395.00
AIDS deaths,2014,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,115",5.1,21802872.00
AIDS deaths,2015,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,087",4.9,22243749.00
AIDS deaths,2016,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,093",4.8,22647866.00
AIDS deaths,2017,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,138",4.9,23007851.00
AIDS deaths,2011,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,14,0.6,2154045.00
AIDS deaths,2012,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,25,1.1,2191305.00
AIDS deaths,2013,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,32,1.4,2233017.00
AIDS deaths,2014,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,17,0.7,2271476.00
AIDS deaths,2015,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,27,1.2,2314417.00
AIDS deaths,2016,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,36,1.5,2371090.00
AIDS deaths,2017,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,19,0.8,2430127.00
AIDS deaths,2011,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,6,1.1,539325.00
AIDS deaths,2012,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,3,0.6,539641.00
AIDS deaths,2013,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,7,1.3,540922.00
AIDS deaths,2014,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,3,0.6,540870.00
AIDS deaths,2015,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,3,0.6,541601.00
AIDS deaths,2016,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,11,2,541260.00
AIDS deaths,2017,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,5,0.9,542961.00
AIDS deaths,2011,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,235,3.5,6763179.00
AIDS deaths,2012,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,253,3.7,6842130.00
AIDS deaths,2013,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,258,3.7,6909745.00
AIDS deaths,2014,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,236,3.4,6970605.00
AIDS deaths,2015,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,220,3.1,7020016.00
AIDS deaths,2016,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,247,3.5,7066986.00
AIDS deaths,2017,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,220,3.1,7121557.00
AIDS deaths,2011,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,138,2.4,5679657.00
AIDS deaths,2012,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,132,2.3,5746623.00
AIDS deaths,2013,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,134,2.3,5813109.00
AIDS deaths,2014,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,141,2.4,5896287.00
AIDS deaths,2015,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,119,2,5995009.00
AIDS deaths,2016,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,138,2.3,6109614.00
AIDS deaths,2017,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,144,2.3,6224655.00
AIDS deaths,2011,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,1.9,1581533.00
AIDS deaths,2012,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,31,2,1582449.00
AIDS deaths,2013,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,1.9,1581193.00
AIDS deaths,2014,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,29,1.8,1578153.00
AIDS deaths,2015,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,28,1.8,1572368.00
AIDS deaths,2016,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,33,2.1,1564167.00
AIDS deaths,2017,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,25,1.6,1554542.00
AIDS deaths,2011,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,78,1.6,4758800.00
AIDS deaths,2012,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,67,1.4,4779842.00
AIDS deaths,2013,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,76,1.6,4804606.00
AIDS deaths,2014,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,77,1.6,4825931.00
AIDS deaths,2015,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,65,1.3,4840448.00
AIDS deaths,2016,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,67,1.4,4857498.00
AIDS deaths,2017,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,77,1.6,4881522.00
AIDS deaths,2011,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,5,1.1,467723.00
AIDS deaths,2012,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,1,0.2,475893.00
AIDS deaths,2013,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,6,1.2,480996.00
AIDS deaths,2014,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,5,1,480901.00
AIDS deaths,2015,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,1,0.2,483034.00
AIDS deaths,2016,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,4,0.8,482500.00
AIDS deaths,2017,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,5,1,479567.00
