Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
AIDS deaths,2013,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,157,5.1,3054288.00
AIDS deaths,2014,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,161,5.3,3061978.00
AIDS deaths,2015,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,158,5.2,3061946.00
AIDS deaths,2016,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,160,5.2,3060226.00
AIDS deaths,2017,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,158,5.2,3060949.00
AIDS deaths,2011,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,56,7.4,760646.00
AIDS deaths,2012,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,9.1,768406.00
AIDS deaths,2013,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,62,8,777619.00
AIDS deaths,2014,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,8.9,786714.00
AIDS deaths,2015,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,57,7.2,795441.00
AIDS deaths,2016,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,46,5.7,803341.00
AIDS deaths,2017,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,57,7,811576.00
AIDS deaths,2011,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,228,42.1,541801.00
AIDS deaths,2012,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,191,34.6,552642.00
AIDS deaths,2013,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,164,29.1,564030.00
AIDS deaths,2014,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,173,30.2,572788.00
AIDS deaths,2015,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,192,33,582251.00
